item_id,original_item_id,item_name,item_description,item_sku,brand,manufacturer,material_class_i,material_class_ii,material_class_iii,certification,kit,item_weight,weight_unit,item_dimensions,dimensions_unit,item_capacity,capacity_unit
45,K2,Agave Straw,Straw A,,Company C,Company C,Fiber,Unlined Fiber,Agave,BPI,Custom,0.6466666667,grams,0.3x0.3x8.2,inches,,milliliters
46,J,Bagasse Clamshell,Clamshell,,Company B,Company B,Fiber,Unlined Fiber,Bagasse,BPI,Custom,48.22,grams,8.5x8.5x3,inches,,milliliters
47,A48,Coffee Bag 1,Coffee Bag 1,,Company F,Company F,Biopolymer,Biopolymer Film/Bag,Not disclosed,,Custom,20.45,grams,7x0.1x10.3,inches,,milliliters
48,S,Coffee Bag 2,Coffee Bag 2,,Company F,Company F,Biopolymer,Biopolymer Film/Bag,Not disclosed,,Custom,12.5,grams,6x0.1x8.75,inches,,milliliters
49,A50,Coffee Bag 3,Coffee Bag 3,,Company F,Company F,Biopolymer,Biopolymer Film/Bag,Not disclosed,,Custom,14.59,grams,6.75x0.1x6.75,inches,,milliliters
50,A51,Coffee Bag 4,Coffee Bag 4,,Company F,Company F,Biopolymer,Biopolymer Film/Bag,Not disclosed,,Custom,16.37,grams,7.5x0.1x10,inches,,milliliters
51,A52,CPLA Spoon,CPLA utensil,,Company B,Company B,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,BPI,Custom,4.896666667,grams,6x1.5x5,inches,,milliliters
52,A53,Hot Cup,"PLA lined cup, green/white",,Company B,Company B,Fiber,Lined Fiber,PLA-lined Tree Fiber,BPI,Custom,9.986666667,grams,3x3.5x4.25,inches,,milliliters
53,D,Hot Cup,"PLA lined hot cup, natural color",,Company A,Company A,Fiber,Lined Fiber,Mixed Fibers,BPI,Custom,12.36333333,grams,2.5x3.5x5.5,inches,,milliliters
54,A55,Paper Spoon,"Paper spoon, natural color",,Company A,Company A,Fiber,Unlined Fiber,Tree Fiber,BPI,Custom,3.553333333,grams,1x2x5.75,inches,,milliliters
55,H,PLA portion cup 16oz,"Portion cup (PLA, clear) 16 oz",,Company B,Company B,Fiber,Unlined Fiber,PLA,BPI,Custom,10.74333333,grams,3.5x4x5,inches,,milliliters
56,A57,Soup bowl ,Container (unlined),,Company A,Company A,Fiber,Unlined Fiber,Mixed Fibers,BPI,Custom,30.46,grams,9x7x1.5,inches,,milliliters
57,A58,Soup Bowl 32oz,"32oz PLA-lined paper food bowl, 185-Series",,Company E,Company E,Fiber,Unlined Fiber,Bagasse,BPI,Custom,20.44666667,grams,4x6x3,inches,,milliliters
58,A59,Stand up Biopolymer Pouch,"Bar bag, with LABEL",,Company D,Company D,Biopolymer,Biopolymer Film/Bag,Not disclosed,BPI,Custom,1.713333333,grams,3x0.05x5.5,inches,,milliliters
59,A60,Unlined Bella Bowl,Bella pot,,Company E,Company E,Fiber,Unlined Fiber,Bagasse,BPI,Custom,7.513333333,grams,3x3x2.5,inches,,milliliters
60,A61,PBAT/PLA film wrapper ,Wrapper for TPLA Spoon SP-PS-I,SP-PS-I Wrapper,World Centric™,World Centric™,Biopolymer,Biopolymer Film/Bag,Mixed biopolymer,BPI,Custom,,grams,8.25x2x0.1,inches,,milliliters
61,A62,PLA-lined Paper Bowl 8oz,,,BÉSICS®,WeiMon,Fiber,Lined Fiber,PLA lined Paper,BPI,Pilot,7.766666667,grams,,inches,300.0,milliliters
62,A63,Cellulose bag 5x7in,Cellulose bag 5x7,NKR 5x7,BÉSICS®,Pak-Sel,Biopolymer,Biopolymer Film/Bag,Cellulose,BPI,Pilot,2.333333333,grams,,inches,0.36,milliliters
63,A64,Unlined Bagasse Bowl,BESICS fireware bowl,,BÉSICS®,GQPP,Fiber,Unlined Fiber,Bagasse,BPI,Pilot,14.73333333,grams,,inches,,milliliters
64,A65,Unlined Bagasse Clamshell 850mL,Fibreware clamshell,GQ-C-850-1CR,BÉSICS®,GQPP,Fiber,Unlined Fiber,Bagasse,BPI,Pilot,16.3,grams,,inches,750.0,milliliters
65,A66,Unlined Bagasse Clamshell 9x9,Fibreware clamshell,,BÉSICS®,GQPP,Fiber,Unlined Fiber,Bagasse,BPI,Pilot,42.33333333,grams,,inches,1800.0,milliliters
66,A67,Paper hot cup sleeve,BESICS Sleeve,B-Sleeve,BÉSICS®,Seaside Paper,Fiber,Unlined Fiber,Paper,,Pilot,5.933333333,grams,,inches,350.0,milliliters
67,A68,PLA-lined Paper,BESICS wrap,"H-18""90'",BÉSICS®,Dyne-A-Pak,Fiber,Lined Fiber,PLA lined Paper,Not,Pilot,10.0,grams,,inches,9.0,milliliters
68,A69,CPLA Fork,CPLA Fork,CPLA-002,Jaya®,Stalk Market,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,BPI,Pilot,5.133333333,grams,,inches,60.0,milliliters
69,A70,CPLA Knife,CPLA Knife,CPLA-001,Jaya®,Stalk Market,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,BPI,Pilot,4.433333333,grams,,inches,60.0,milliliters
70,A71,PLA Box 320z,D&W 32oz square box,W-N32N,D&W,D&W,Biopolymer,Rigid Biopolymer (> 0.75mm),PLA amorphous,Not,Pilot,18.66666667,grams,,inches,1000.0,milliliters
71,A72,PLA Lid 32oz ,D&W PLA lid,W-H59N LID,D&W,D&W,Biopolymer,Rigid biopolymer,PLA amorphous,Not,Pilot,7.0,grams,,inches,100.0,milliliters
72,A73,PLA-lined Paper Bowl 12oz,Ecotainer bowl,IP-DFRE-08,Ecotainer®,International Paper,Fiber,Lined Fiber,PLA lined Paper,BPI,Pilot,8.333333333,grams,,inches,350.0,milliliters
73,A74,PLA Cold Cup 20oz,Fabrikal 20oz cup,FK-GC-20,Greenware®,FabriKal,Biopolymer,Rigid biopolymer,PLA amorphous,BPI,Pilot,16.0,grams,,inches,600.0,milliliters
74,A75,Positive control - kraft paper 2 ply,Kraft control,,No name,Canadian Tire,Fiber,Unlined Fiber,Tree fibre,,Pilot,10.33333333,grams,,inches,9.0,milliliters
75,A76,MPLA Spoon,MPLA Spoon,NATUR-SP,NaturTec,NaturTec,Biopolymer,Rigid biopolymer,MPLA,BPI,Pilot,3.933333333,grams,,inches,60.0,milliliters
76,A77,CPLA Foam Tray ,Biofoam tray,DAP-2,Dyne-A-Pak,Dyne-A-Pak,Biopolymer,Foam biopolymer,PLA foam,Not,Pilot,6.866666667,grams,,inches,330.0,milliliters
77,A78,"Unlined Paper Tray, large",SPP tray (hot dog tray) ,SPP-D1222,Seaside Paper,Seaside Paper,Fiber,Unlined Fiber,Paper,BPI,Pilot,28.66666667,grams,,inches,1800.0,milliliters
78,A79,Multi-laminate stand-up pounch with zipper,Be the leader bag,,Associated Labels,Associated Labels,Biopolymer,Biopolymer Film/Bag,Not disclosed,Not,Pilot,119.3,grams,,inches,,milliliters
79,A80,Multi-laminate metallized stand-up pouch with zipper,Silver bag,,Associated Labels,Associated Labels,Biopolymer,Biopolymer Film/Bag,Not disclosed,Not,Pilot,152.5,grams,,inches,,milliliters
80,A81,PLA Lid 32oz,,,World Centric™,World Centric™,Biopolymer,Rigid Biopolymer (> 0.75mm),PLA,BPI,Custom,15.13666667,grams,10x6.5x1.25,inches,,milliliters
