Trial ID,Test Method,Item ID,Item Format,Item Name,Item Description Refined,Item Description Refined (Trial),Material Class I,Material Class II,Material Class III,Start Weight,% Residuals (Mass),% Residuals (Area)
CASP004-01,Mesh Bag,A11,Cutlery,"CPLA Spoon 6""","BÉSICS® 6"" Spoon",Cutlery,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.75,0.0,
CASP004-01,Mesh Bag,A1,Hot cup,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,16oz NoTree Paper Hot Cup SKU CU-SU-16,Fiber,Lined Fiber,PLA-lined Bamboo Paper,13.52,1.8111439842209074,
CASP004-01,Mesh Bag,A1,Hot cup,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,16oz NoTree Paper Hot Cup SKU CU-SU-16,Fiber,Lined Fiber,PLA-lined Bamboo Paper,13.52,3.554733727810651,
CASP004-01,Mesh Bag,A1,Hot cup,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,16oz NoTree Paper Hot Cup SKU CU-SU-16,Fiber,Lined Fiber,PLA-lined Bamboo Paper,13.52,0.0,
CASP004-01,Mesh Bag,A1,Hot cup,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,16oz NoTree Paper Hot Cup SKU CU-SU-16,Fiber,Lined Fiber,PLA-lined Bamboo Paper,13.52,2.138560157790927,
CASP004-01,Mesh Bag,A1,Hot cup,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,16oz NoTree Paper Hot Cup SKU CU-SU-16,Fiber,Lined Fiber,PLA-lined Bamboo Paper,13.52,2.019723865877712,
CASP004-01,Mesh Bag,A1,Hot cup,PLA-lined Bamboo Hot Cup 16oz,16oz NoTree Paper Hot Cup - World Centric,16oz NoTree Paper Hot Cup SKU CU-SU-16,Fiber,Lined Fiber,PLA-lined Bamboo Paper,13.52,1.033777120315582,
CASP004-01,Mesh Bag,A3,Straw,"Kraft straw 8""","8"" Kraft straw ST-PA-8-K","8"" Kraft straw ST-PA-8-K",Fiber,Unlined Fiber,Paper,1.07,0.0,
CASP004-01,Mesh Bag,A3,Straw,"Kraft straw 8""","8"" Kraft straw ST-PA-8-K","8"" Kraft straw ST-PA-8-K",Fiber,Unlined Fiber,Paper,1.07,0.0,
CASP004-01,Mesh Bag,A3,Straw,"Kraft straw 8""","8"" Kraft straw ST-PA-8-K","8"" Kraft straw ST-PA-8-K",Fiber,Unlined Fiber,Paper,1.07,0.0,
CASP004-01,Mesh Bag,A3,Straw,"Kraft straw 8""","8"" Kraft straw ST-PA-8-K","8"" Kraft straw ST-PA-8-K",Fiber,Unlined Fiber,Paper,1.07,1.3862928348909658,
CASP004-01,Mesh Bag,A3,Straw,"Kraft straw 8""","8"" Kraft straw ST-PA-8-K","8"" Kraft straw ST-PA-8-K",Fiber,Unlined Fiber,Paper,1.07,1.3426791277258567,
CASP004-01,Mesh Bag,A3,Straw,"Kraft straw 8""","8"" Kraft straw ST-PA-8-K","8"" Kraft straw ST-PA-8-K",Fiber,Unlined Fiber,Paper,1.07,1.0498442367601246,
CASP004-01,Mesh Bag,A38,Clamshell,Fiber Clamshell 9x9in,"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF","Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",Fiber,Lined Fiber,PLA-lined Mixed Fiber,47.78,2.111204130040463,
CASP004-01,Mesh Bag,A38,Clamshell,Fiber Clamshell 9x9in,"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF","Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",Fiber,Lined Fiber,PLA-lined Mixed Fiber,47.78,2.357890330682294,
CASP004-01,Mesh Bag,A38,Clamshell,Fiber Clamshell 9x9in,"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF","Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",Fiber,Lined Fiber,PLA-lined Mixed Fiber,47.78,0.0,
CASP004-01,Mesh Bag,A38,Clamshell,Fiber Clamshell 9x9in,"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF","Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",Fiber,Lined Fiber,PLA-lined Mixed Fiber,47.78,1.1966652713827264,
CASP004-01,Mesh Bag,A38,Clamshell,Fiber Clamshell 9x9in,"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF","Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",Fiber,Lined Fiber,PLA-lined Mixed Fiber,47.78,1.3492395702525461,
CASP004-01,Mesh Bag,A38,Clamshell,Fiber Clamshell 9x9in,"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF","Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",Fiber,Lined Fiber,PLA-lined Mixed Fiber,47.78,1.2688712152923118,
CASP004-01,Mesh Bag,A72,Spoon,CPLA Spoon,WR3 - CPLA Spoon,TPLA Spoon SP-PS-6,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.97,0.0,
CASP004-01,Mesh Bag,A72,Spoon,CPLA Spoon,WR3 - CPLA Spoon,TPLA Spoon SP-PS-6,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.97,0.0,
CASP004-01,Mesh Bag,A72,Spoon,CPLA Spoon,WR3 - CPLA Spoon,TPLA Spoon SP-PS-6,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.97,0.0,
CASP004-01,Mesh Bag,A72,Spoon,CPLA Spoon,WR3 - CPLA Spoon,TPLA Spoon SP-PS-6,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.97,0.0,
CASP004-01,Mesh Bag,A72,Spoon,CPLA Spoon,WR3 - CPLA Spoon,TPLA Spoon SP-PS-6,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.97,0.0,
CASP004-01,Mesh Bag,A72,Spoon,CPLA Spoon,WR3 - CPLA Spoon,TPLA Spoon SP-PS-6,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,4.97,0.6780684104627767,
CASP004-01,Mesh Bag,A77,Bowl,Soup bowl ,WR3 - Soup bowl ,"Fiber Cutlery, Spoon SP-FB-6-LF",Fiber,Unlined Fiber,Mixed Fibers,3.99,0.0,
CASP004-01,Mesh Bag,A77,Bowl,Soup bowl ,WR3 - Soup bowl ,"Fiber Cutlery, Spoon SP-FB-6-LF",Fiber,Unlined Fiber,Mixed Fibers,3.99,1.6399331662489556,
CASP004-01,Mesh Bag,A77,Bowl,Soup bowl ,WR3 - Soup bowl ,"Fiber Cutlery, Spoon SP-FB-6-LF",Fiber,Unlined Fiber,Mixed Fibers,3.99,0.0,
CASP004-01,Mesh Bag,A77,Bowl,Soup bowl ,WR3 - Soup bowl ,"Fiber Cutlery, Spoon SP-FB-6-LF",Fiber,Unlined Fiber,Mixed Fibers,3.99,0.8362573099415206,
CASP004-01,Mesh Bag,A77,Bowl,Soup bowl ,WR3 - Soup bowl ,"Fiber Cutlery, Spoon SP-FB-6-LF",Fiber,Unlined Fiber,Mixed Fibers,3.99,1.2497911445279868,
CASP004-01,Mesh Bag,A77,Bowl,Soup bowl ,WR3 - Soup bowl ,"Fiber Cutlery, Spoon SP-FB-6-LF",Fiber,Unlined Fiber,Mixed Fibers,3.99,1.0918964076858813,
CASP004-01,Mesh Bag,A78,Soup Bowl,Soup Bowl 32oz,WR3 - Soup Bowl 32oz,14oz PLA Cold Cup SKU CP-CS-14,Fiber,Unlined Fiber,Bagasse,10.17,0.0,
CASP004-01,Mesh Bag,A78,Soup Bowl,Soup Bowl 32oz,WR3 - Soup Bowl 32oz,14oz PLA Cold Cup SKU CP-CS-14,Fiber,Unlined Fiber,Bagasse,10.17,0.0,
CASP004-01,Mesh Bag,A78,Soup Bowl,Soup Bowl 32oz,WR3 - Soup Bowl 32oz,14oz PLA Cold Cup SKU CP-CS-14,Fiber,Unlined Fiber,Bagasse,10.17,0.0,
CASP004-01,Mesh Bag,A78,Soup Bowl,Soup Bowl 32oz,WR3 - Soup Bowl 32oz,14oz PLA Cold Cup SKU CP-CS-14,Fiber,Unlined Fiber,Bagasse,10.17,0.0,
CASP004-01,Mesh Bag,A78,Soup Bowl,Soup Bowl 32oz,WR3 - Soup Bowl 32oz,14oz PLA Cold Cup SKU CP-CS-14,Fiber,Unlined Fiber,Bagasse,10.17,0.0,
CASP004-01,Mesh Bag,A78,Soup Bowl,Soup Bowl 32oz,WR3 - Soup Bowl 32oz,14oz PLA Cold Cup SKU CP-CS-14,Fiber,Unlined Fiber,Bagasse,10.17,0.0,
CASP004-01,Mesh Bag,A81,Wrapper,PBAT/PLA film wrapper ,Wrapper for TPLA Spoon SP-PS-I,Wrapper for TPLA Spoon SP-PS-I,Biopolymer,Biopolymer Film/Bag,Mixed biopolymer,0.82,0.0,
CASP004-01,Mesh Bag,A81,Wrapper,PBAT/PLA film wrapper ,Wrapper for TPLA Spoon SP-PS-I,Wrapper for TPLA Spoon SP-PS-I,Biopolymer,Biopolymer Film/Bag,Mixed biopolymer,0.82,0.0,
CASP004-01,Mesh Bag,A81,Wrapper,PBAT/PLA film wrapper ,Wrapper for TPLA Spoon SP-PS-I,Wrapper for TPLA Spoon SP-PS-I,Biopolymer,Biopolymer Film/Bag,Mixed biopolymer,0.82,0.6707317073170731,
CASP004-01,Mesh Bag,A81,Wrapper,PBAT/PLA film wrapper ,Wrapper for TPLA Spoon SP-PS-I,Wrapper for TPLA Spoon SP-PS-I,Biopolymer,Biopolymer Film/Bag,Mixed biopolymer,0.82,1.556910569105691,
CASP004-01,Mesh Bag,A81,Wrapper,PBAT/PLA film wrapper ,Wrapper for TPLA Spoon SP-PS-I,Wrapper for TPLA Spoon SP-PS-I,Biopolymer,Biopolymer Film/Bag,Mixed biopolymer,0.82,0.0,
CASP004-01,Mesh Bag,A81,Wrapper,PBAT/PLA film wrapper ,Wrapper for TPLA Spoon SP-PS-I,Wrapper for TPLA Spoon SP-PS-I,Biopolymer,Biopolymer Film/Bag,Mixed biopolymer,0.82,1.024390243902439,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,0.0,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,0.0,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,2.0853801169590644,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,1.727485380116959,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,2.9146198830409356,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,0.0,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,1.4619883040935673,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,1.367251461988304,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,1.3567251461988306,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,0.6818713450292397,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,0.0,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,1.5216374269005848,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,0.0,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,0.8350877192982455,
CASP004-01,Mesh Bag,A42,Control,Positive control - kraft paper 2 ply,"Kraft Control 10""x5"" 2-ply",Kraft control,Fiber,Unlined Fiber,Tree fibre,2.85,1.095906432748538,
CASP004-01,Mesh Bag,A50,Tray,CPLA Foam Tray ,PLA Foam Tray,Large brown bag,Biopolymer,Foam biopolymer,PLA foam,12.72,0.4001572327044025,
CASP004-01,Mesh Bag,A50,Tray,CPLA Foam Tray ,PLA Foam Tray,Large brown bag,Biopolymer,Foam biopolymer,PLA foam,12.72,0.0,
CASP004-01,Mesh Bag,A50,Tray,CPLA Foam Tray ,PLA Foam Tray,Large brown bag,Biopolymer,Foam biopolymer,PLA foam,12.72,1.3996331236897273,
CASP004-01,Mesh Bag,A50,Tray,CPLA Foam Tray ,PLA Foam Tray,Large brown bag,Biopolymer,Foam biopolymer,PLA foam,12.72,2.092767295597484,
CASP004-01,Mesh Bag,A50,Tray,CPLA Foam Tray ,PLA Foam Tray,Large brown bag,Biopolymer,Foam biopolymer,PLA foam,12.72,1.0256813417190775,
CASP004-01,Mesh Bag,A50,Tray,CPLA Foam Tray ,PLA Foam Tray,Large brown bag,Biopolymer,Foam biopolymer,PLA foam,12.72,1.4858490566037736,
CASP004-01,Mesh Bag,A51,Bowl,PLA Lid 32oz,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,Biopolymer,Rigid Biopolymer (> 0.75mm),PLA,15.14,0.0,
CASP004-01,Mesh Bag,A51,Bowl,PLA Lid 32oz,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,Biopolymer,Rigid Biopolymer (> 0.75mm),PLA,15.14,0.0,
CASP004-01,Mesh Bag,A51,Bowl,PLA Lid 32oz,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,Biopolymer,Rigid Biopolymer (> 0.75mm),PLA,15.14,0.0,
CASP004-01,Mesh Bag,A51,Bowl,PLA Lid 32oz,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,Biopolymer,Rigid Biopolymer (> 0.75mm),PLA,15.14,0.0,
CASP004-01,Mesh Bag,A51,Bowl,PLA Lid 32oz,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,Biopolymer,Rigid Biopolymer (> 0.75mm),PLA,15.14,0.0,
CASP004-01,Mesh Bag,A51,Bowl,PLA Lid 32oz,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,Biopolymer,Rigid Biopolymer (> 0.75mm),PLA,15.14,0.0,
ASP001-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.0725798276735936,0.6957868924446288
ASP001-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.1238520020273697,0.7637817808631469
ASP001-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.8913329954384187,0.782284126960632
ASP001-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.1270146984287888,0.7789981102937187
ASP001-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.368474404460213,0.7415098901207341
CASP004-02,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.3094779523568172,0.8548725311702858
CASP004-02,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.9710086163203244,0.7975300601449599
CASP004-02,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
CASP004-02,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
CASP005-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.0951748606183478,0.7166081992529988
CASP005-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.0951748606183478,0.7166081992529988
CASP005-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.573563101875317,0.7977767580929264
CASP005-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.573563101875317,0.7977767580929264
CASP005-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.0853218449062343,0.7512149873937349
CASP005-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.0853218449062343,0.7512149873937349
CASP005-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.1253117080587938,0.7431627663721095
CASP005-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.1253117080587938,0.7431627663721095
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.3928940699442474,0.767334231313864
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.3928940699442474,0.767334231313864
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.0747085656360873,0.8451476980614476
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,1.0747085656360873,0.8451476980614476
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
CASP006-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
EASP001-01,Bulk Dose,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.3554295690443257,0.19816502234128908
EASP002-01,Mesh Bag,Q,Bowl,PLA-lined Bagasse Bowl 300mL,BÉSICS® 250mL PLA-lined Bagasse Leaf Bowl,,Fiber,Lined Fiber,PLA lined Bagasse,10.88,0.0,0.0
