obs_id,facility_id,trial_id,bag_id,item_id,trial_stage,weight1,weight2,weight3,mean_weight_final_g,%_not_decomposed,%_decomposed,bag_intact,photo_available,notes,outlier_alert
138,44547.0,44547-01-21,44547_01_21_A_6,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
139,44547.0,44547-01-21,44547_01_21_A_1,4,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
140,44547.0,44547-01-21,44547_01_21_A_2,4,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
141,44547.0,44547-01-21,44547_01_21_A_3,4,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
142,44547.0,44547-01-21,44547_01_21_A_4,4,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
143,44547.0,44547-01-21,44547_01_21_A_5,4,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
144,44547.0,44547-01-21,44547_01_21_A_6,4,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
145,44547.0,44547-01-21,44547_01_21_A_1,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
146,44547.0,44547-01-21,44547_01_21_A_2,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
147,44547.0,44547-01-21,44547_01_21_A_3,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
148,44547.0,44547-01-21,44547_01_21_A_4,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
149,44547.0,44547-01-21,44547_01_21_A_5,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
150,44547.0,44547-01-21,44547_01_21_A_6,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
151,44547.0,44547-01-21,44547_01_21_A_1,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
152,44547.0,44547-01-21,44547_01_21_A_2,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
153,44547.0,44547-01-21,44547_01_21_A_3,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
154,44547.0,44547-01-21,44547_01_21_A_4,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
155,44547.0,44547-01-21,44547_01_21_A_5,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
156,44547.0,44547-01-21,44547_01_21_A_6,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
157,44547.0,44547-01-21,44547_01_21_A_1,5,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
158,44547.0,44547-01-21,44547_01_21_A_2,5,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
159,44547.0,44547-01-21,44547_01_21_A_3,5,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
160,44547.0,44547-01-21,44547_01_21_A_4,5,End,17.64,17.51,17.51,17.55,166.83,-66.83,True,True,,True
161,44547.0,44547-01-21,44547_01_21_A_5,5,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
162,44547.0,44547-01-21,44547_01_21_A_6,5,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
163,44547.0,44547-01-21,44547_01_21_A_1,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
164,44547.0,44547-01-21,44547_01_21_A_2,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
165,44547.0,44547-01-21,44547_01_21_A_3,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
166,44547.0,44547-01-21,44547_01_21_A_4,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
167,44547.0,44547-01-21,44547_01_21_A_5,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
168,44547.0,44547-01-21,44547_01_21_A_6,5,Start,10.52,10.52,10.51,10.52,100.0,0.0,True,True,,False
169,44547.0,44547-01-21,44547_01_21_A_1,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
170,44547.0,44547-01-21,44547_01_21_A_2,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
171,44547.0,44547-01-21,44547_01_21_A_3,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
172,44547.0,44547-01-21,44547_01_21_A_4,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
173,44547.0,44547-01-21,44547_01_21_A_5,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
174,44547.0,44547-01-21,44547_01_21_A_6,5,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
175,44547.0,44547-01-21,44547_01_21_A_1,5,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
176,44547.0,44547-01-21,44547_01_21_A_2,5,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
177,44547.0,44547-01-21,44547_01_21_A_3,5,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
178,44547.0,44547-01-21,44547_01_21_A_4,5,End,17.64,17.51,17.51,17.55,166.83,-66.83,True,True,,True
179,44547.0,44547-01-21,44547_01_21_A_5,5,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
180,44547.0,44547-01-21,44547_01_21_A_6,5,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
181,44547.0,44547-01-21,44547_01_21_A_1,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
182,44547.0,44547-01-21,44547_01_21_A_2,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
183,44547.0,44547-01-21,44547_01_21_A_3,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
184,44547.0,44547-01-21,44547_01_21_A_4,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
185,44547.0,44547-01-21,44547_01_21_A_5,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
186,44547.0,44547-01-21,44547_01_21_A_6,6,Start,11.83,11.9,11.89,11.87,100.0,0.0,True,True,,False
187,44547.0,44547-01-21,44547_01_21_A_1,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
188,44547.0,44547-01-21,44547_01_21_A_2,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
189,44547.0,44547-01-21,44547_01_21_A_3,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
190,44547.0,44547-01-21,44547_01_21_A_4,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
191,44547.0,44547-01-21,44547_01_21_A_5,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
192,44547.0,44547-01-21,44547_01_21_A_6,6,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
193,44547.0,44547-01-21,44547_01_21_A_1,6,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
194,44547.0,44547-01-21,44547_01_21_A_2,6,End,11.42,11.42,11.42,11.42,96.21,3.79,True,True,,False
195,44547.0,44547-01-21,44547_01_21_A_3,6,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
196,44547.0,44547-01-21,44547_01_21_A_4,6,End,31.2,31.19,31.17,31.19,262.76,-162.76,True,True,,True
197,44547.0,44547-01-21,44547_01_21_A_5,6,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
198,44547.0,44547-01-21,44547_01_21_A_6,6,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
